,hydrophobicity,polar,hydropathy intensity,hydrophilicity,pH_l,vdW_vol,pK1,pK2,steric
A,0.0,0.0,1.8,3.0,6.01,67.0,2.35,9.87,1.28
C,1.0,-1.0,2.5,-1.0,5.05,86.0,1.92,10.7,1.77
D,2.0,1.0,-3.5,3.0,2.85,91.0,1.99,9.9,1.6
E,2.0,1.0,-3.5,3.0,3.15,109.0,2.1,9.47,0.0
F,1.0,-1.0,2.8,-2.5,5.49,135.0,2.2,9.31,2.94
G,0.0,0.0,-0.4,0.0,6.06,48.0,2.35,9.78,0.0
H,-1.0,1.0,-3.2,-0.5,7.6,118.0,1.8,9.33,2.99
I,1.0,-1.0,4.5,-1.8,6.05,124.0,2.32,9.76,4.19
K,2.0,1.0,-3.9,3.0,9.6,135.0,2.16,9.06,1.89
L,1.0,-1.0,3.8,-1.8,6.01,124.0,2.33,9.74,2.59
M,1.0,-1.0,1.9,-1.3,5.74,124.0,2.13,9.28,2.35
N,-2.0,1.0,-3.5,0.2,5.41,96.0,2.14,8.72,1.6
P,-1.0,0.0,1.6,0.0,6.3,90.0,1.95,10.64,2.67
Q,-2.0,1.0,-3.5,0.2,5.65,114.0,2.17,9.13,1.56
R,2.0,1.0,-4.5,3.0,10.76,148.0,1.82,8.99,2.34
S,-2.0,0.0,-0.8,0.3,5.68,73.0,2.19,9.21,1.31
T,-2.0,0.0,-0.7,-0.4,5.6,93.0,2.09,9.1,3.03
V,1.0,-1.0,4.2,-1.5,6.0,105.0,2.39,9.74,3.67
W,1.0,-1.0,-0.9,-3.4,5.89,163.0,2.46,9.41,3.21
Y,-2.0,-1.0,-1.3,-2.3,5.64,141.0,2.2,9.21,2.94
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
